num_sujet,num_session,run,trial,character,isNoGo,duration
1,2,1,1,A,False,0.9042598011970546
1,2,1,2,G,False,0.774269494356258
1,2,1,3,F,False,0.7914140041036118
1,2,1,4,Z,False,0.6646140941153613
1,2,1,5,U,False,0.9954131162708805
1,2,1,6,K,False,0.8671902925414424
1,2,1,7,R,False,0.6522546247442329
1,2,1,8,S,True,0.9878644380045596
1,2,1,9,A,False,0.6588721417863672
1,2,1,10,Z,False,0.7466442169520033
1,2,1,11,Q,False,0.8286297398152292
1,2,1,12,H,False,0.953692349368948
1,2,1,13,S,True,0.9823431926364481
1,2,1,14,S,True,0.8526214791340379
1,2,1,15,X,False,0.9827272836025226
1,2,1,16,J,False,0.7507910618063522
1,2,1,17,T,False,0.9717190286600135
1,2,1,18,G,False,0.6400147747999292
1,2,1,19,W,False,0.7359443140354254
1,2,1,20,M,False,0.6170135141292601
1,2,1,21,I,False,0.9093963809352811
1,2,1,22,S,True,0.6827165212838107
1,2,1,23,M,False,0.6901386307013209
1,2,1,24,B,False,0.6226551206964624
1,2,1,25,Z,False,0.9976121468615733
1,2,1,26,S,True,0.7319518065469255
1,2,1,27,A,False,0.7798142788749212
1,2,1,28,E,False,0.7338007804459901
1,2,1,29,H,False,0.6076920838075749
1,2,1,30,S,True,0.9215131130129113
1,2,1,31,S,True,0.7366992784921087
1,2,1,32,N,False,0.8556480388794934
1,2,1,33,S,True,0.8356096176825152
1,2,1,34,U,False,0.7581013340453776
1,2,1,35,T,False,0.7534507484645926
1,2,1,36,E,False,0.8041834662921237
1,2,1,37,R,False,0.6350150591781305
1,2,1,38,E,False,0.7976359292535634
1,2,1,39,P,False,0.7631505490344143
1,2,1,40,V,False,0.8418326175719679
1,2,1,41,S,True,0.7629088976070652
1,2,1,42,Y,False,0.8627932992562912
1,2,1,43,Y,False,0.7545966121341546
1,2,1,44,B,False,0.7930438681152936
1,2,1,45,S,True,0.9494067540811498
1,2,1,46,L,False,0.933484058864752
1,2,1,47,S,True,0.6234836581152448
1,2,1,48,I,False,0.9913717747985162
