num_sujet,num_session,run,trial,character,isNoGo,duration
6,2,1,1,K,False,0.9325069414979865
6,2,1,2,S,True,0.8349667088809182
6,2,1,3,K,False,0.6633732360501905
6,2,1,4,R,False,0.8506383479366032
6,2,1,5,U,False,0.9972699910630832
6,2,1,6,G,False,0.6008514793242826
6,2,1,7,S,True,0.7619879123783404
6,2,1,8,P,False,0.8998687700539155
6,2,1,9,H,False,0.9305774007210041
6,2,1,10,S,True,0.9697435058326696
6,2,1,11,U,False,0.8815186680382185
6,2,1,12,L,False,0.7589439695759108
6,2,1,13,V,False,0.6436414210917492
6,2,1,14,C,False,0.6592247258245464
6,2,1,15,S,True,0.9512665842416161
6,2,1,16,T,False,0.917241851788765
6,2,1,17,L,False,0.8641078096674611
6,2,1,18,D,False,0.6119605435171078
6,2,1,19,P,False,0.8615372628233592
6,2,1,20,A,False,0.8254678737126834
6,2,1,21,L,False,0.631220065318091
6,2,1,22,X,False,0.8928025092815977
6,2,1,23,X,False,0.7308725884503893
6,2,1,24,S,True,0.7907934903381657
6,2,1,25,A,False,0.7219517260502077
6,2,1,26,A,False,0.7732340674504565
6,2,1,27,K,False,0.9034970813144715
6,2,1,28,O,False,0.8775809425421328
6,2,1,29,R,False,0.8152589863399428
6,2,1,30,S,True,0.7286352643610433
6,2,1,31,U,False,0.6922290735098598
6,2,1,32,L,False,0.7186150361307779
6,2,1,33,S,True,0.9783226350771215
6,2,1,34,S,True,0.8546302573469067
6,2,1,35,D,False,0.7483119108284342
6,2,1,36,S,True,0.7085251784370916
6,2,1,37,O,False,0.9972677469400428
6,2,1,38,T,False,0.6625318581731998
6,2,1,39,S,True,0.737042699687348
6,2,1,40,A,False,0.6121872784746558
6,2,1,41,E,False,0.741993412085725
6,2,1,42,S,True,0.9839824441959139
6,2,1,43,P,False,0.6870992049640352
6,2,1,44,S,True,0.8225040769798754
6,2,1,45,J,False,0.9227935982248409
6,2,1,46,L,False,0.8242423858005389
6,2,1,47,S,True,0.9300695555077908
6,2,1,48,B,False,0.6221050754474613
6,2,1,49,A,False,0.6162846605615302
6,2,1,50,O,False,0.6947312126714336
6,2,1,51,S,True,0.9483191625880639
6,2,1,52,K,False,0.9170719658465392
6,2,1,53,B,False,0.9456506221338852
