num_sujet,num_session,run,trial,character,isNoGo,duration,type
1,1,2,1,S,True,0.9279272376661765,NF
1,1,2,2,P,False,0.6461572544700445,NF
1,1,2,3,S,True,0.8913388553374713,NF
1,1,2,4,H,False,0.6668653904819305,NF
1,1,2,5,S,True,0.8915733608912049,NF
1,1,2,6,V,False,0.7152427907943054,NF
1,1,2,7,H,False,0.6935822800876916,NF
1,1,2,8,L,False,0.6656239272050495,NF
1,1,2,9,P,False,0.7616646601880269,NF
1,1,2,10,P,False,0.7240887083579606,NF
1,1,2,11,S,True,0.8370140468089375,NF
1,1,2,12,V,False,0.7633337240184784,NF
1,1,2,13,V,False,0.9638807672255565,NF
1,1,2,14,G,False,0.8031613388737834,NF
1,1,2,15,U,False,0.9942226315901375,NF
1,1,2,16,F,False,0.7771363167137197,NF
1,1,2,17,L,False,0.7206751775294526,NF
1,1,2,18,Z,False,0.6568624077532483,NF
1,1,2,19,Q,False,0.6762533406749642,NF
1,1,2,20,S,True,0.827160896966986,NF
1,1,2,21,A,False,0.8824844431456773,NF
1,1,2,22,S,True,0.7977056269987127,NF
1,1,2,23,T,False,0.6988157174324352,NF
1,1,2,24,P,False,0.806492363830206,NF
1,1,2,25,D,False,0.8772497703726345,NF
1,1,2,26,S,True,0.6964558404030192,NF
1,1,2,27,O,False,0.7708085990229143,NF
1,1,2,28,S,True,0.9148398850588453,NF
1,1,2,29,S,True,0.8448377437395336,NF
1,1,2,30,O,False,0.6373605865907856,NF
1,1,2,31,L,False,0.8078254854629672,NF
1,1,2,32,S,True,0.8676835478782607,NF
1,1,2,33,I,False,0.756251613441208,NF
1,1,2,34,S,True,0.9541622650499373,NF
1,1,2,35,S,True,0.8790708393464715,NF
1,1,2,36,K,False,0.9023342053305008,NF
1,1,2,37,S,True,0.7704955475086778,NF
1,1,2,38,A,False,0.8169361006329261,NF
1,1,2,39,S,True,0.7310856221757498,NF
1,1,2,40,N,False,0.8716216643789896,NF
1,1,2,41,Q,False,0.8126688956465105,NF
1,1,2,42,Z,False,0.9236173992115315,NF
1,1,2,43,O,False,0.8535840358985906,NF
1,1,2,44,S,True,0.685476978975162,NF
1,1,2,45,C,False,0.8603088493935376,NF
1,1,2,46,H,False,0.8595182651326089,NF
1,1,2,47,S,True,0.8312684676976027,NF
1,1,2,48,R,False,0.6925527122430049,NF
1,1,2,49,F,False,0.9419924298234696,NF
1,1,2,50,Z,False,0.6831400867278913,NF
1,1,2,51,L,False,0.664309565047705,NF
1,1,2,52,A,False,0.7069862698091716,NF
1,1,2,53,S,True,0.7155671154546778,NF
1,1,2,54,R,False,0.9687306712506052,NF
1,1,2,55,S,True,0.7098750515675969,NF
1,1,2,56,Z,False,0.7852014001229493,NF
1,1,2,57,Y,False,0.8946040244477542,NF
1,1,2,58,O,False,0.843685516597807,NF
1,1,2,59,U,False,0.9666725127189139,NF
1,1,2,60,S,True,0.6139427721075368,NF
1,1,2,1,E,False,0.7595845409566299,OBS
1,1,2,2,O,False,0.7812167533478652,OBS
1,1,2,3,P,False,0.7392969784549759,OBS
1,1,2,4,S,True,0.6950603097376074,OBS
1,1,2,5,A,False,0.9304171307675438,OBS
1,1,2,6,S,True,0.7453789026301509,OBS
1,1,2,7,V,False,0.9592562901251669,OBS
1,1,2,8,T,False,0.951907201191166,OBS
1,1,2,9,K,False,0.7061380450761396,OBS
1,1,2,10,U,False,0.7436980738492065,OBS
1,1,2,11,H,False,0.896553021287191,OBS
1,1,2,12,S,True,0.8240299152059851,OBS
1,1,2,13,D,False,0.7795880678432556,OBS
1,1,2,14,K,False,0.8826923053948372,OBS
1,1,2,15,B,False,0.632649926492657,OBS
1,1,2,16,J,False,0.7784508784223707,OBS
1,1,2,17,Q,False,0.6023144733149244,OBS
1,1,2,18,B,False,0.7506692043245471,OBS
1,1,2,19,S,True,0.8649889874764503,OBS
1,1,2,20,N,False,0.9130867594265211,OBS
1,1,2,21,S,True,0.9804322697049372,OBS
1,1,2,22,V,False,0.9145785984484261,OBS
1,1,2,23,X,False,0.8225372560527793,OBS
1,1,2,24,O,False,0.7302667478286643,OBS
1,1,2,25,F,False,0.6748164352482782,OBS
1,1,2,26,B,False,0.9342742267151166,OBS
1,1,2,27,J,False,0.7990385719607986,OBS
