num_sujet,num_session,run,trial,character,isNoGo,duration,type
1,1,8,1,S,True,0.6432613789643891,NF
1,1,8,2,S,True,0.7326804123419173,NF
1,1,8,3,P,False,0.8559342914834026,NF
1,1,8,4,X,False,0.7253067812606279,NF
1,1,8,5,F,False,0.664130072413693,NF
1,1,8,6,E,False,0.9886670018698558,NF
1,1,8,7,B,False,0.7839858579516352,NF
1,1,8,8,S,True,0.6906285644586094,NF
1,1,8,9,S,True,0.6136670743236935,NF
1,1,8,10,O,False,0.9327482408082999,NF
1,1,8,11,V,False,0.984921825033765,NF
1,1,8,12,S,True,0.7881220137755034,NF
1,1,8,13,P,False,0.6052380383590313,NF
1,1,8,14,H,False,0.9923666418444472,NF
1,1,8,15,W,False,0.6705840714156605,NF
1,1,8,16,X,False,0.8657523235913185,NF
1,1,8,17,S,True,0.6480547978741044,NF
1,1,8,18,U,False,0.741353545669367,NF
1,1,8,19,R,False,0.6763215474050158,NF
1,1,8,20,K,False,0.6997565404107111,NF
1,1,8,21,X,False,0.7199192701036101,NF
1,1,8,22,E,False,0.9226652182117996,NF
1,1,8,23,A,False,0.7897162290848402,NF
1,1,8,24,U,False,0.9769425979579165,NF
1,1,8,25,M,False,0.9667054829271665,NF
1,1,8,26,I,False,0.7011685306125738,NF
1,1,8,27,N,False,0.9966836345027241,NF
1,1,8,28,N,False,0.7920411151992948,NF
1,1,8,29,Q,False,0.7071026425495763,NF
1,1,8,30,F,False,0.6874860310243782,NF
1,1,8,31,F,False,0.6622690886464278,NF
1,1,8,32,S,True,0.7975745911230586,NF
1,1,8,33,I,False,0.8692291110771329,NF
1,1,8,34,U,False,0.6286112997753419,NF
1,1,8,35,S,True,0.966010963960189,NF
1,1,8,36,D,False,0.9375846840003342,NF
1,1,8,37,U,False,0.6962793873442505,NF
1,1,8,38,U,False,0.641950682683208,NF
1,1,8,39,M,False,0.8645697876305332,NF
1,1,8,40,B,False,0.9820106004089364,NF
1,1,8,41,V,False,0.6149516295137845,NF
1,1,8,42,X,False,0.7568671461963927,NF
1,1,8,43,I,False,0.8287238962604301,NF
1,1,8,44,S,True,0.7892223956574709,NF
1,1,8,45,F,False,0.9924994982917792,NF
1,1,8,46,W,False,0.7415796318800276,NF
1,1,8,47,R,False,0.7822178507599387,NF
1,1,8,48,S,True,0.8168862287139025,NF
1,1,8,49,F,False,0.9470760681584212,NF
1,1,8,50,R,False,0.6229992944553904,NF
1,1,8,51,O,False,0.6091234590152921,NF
1,1,8,52,N,False,0.6994119433267294,NF
1,1,8,53,A,False,0.8583283041780818,NF
1,1,8,54,K,False,0.971002467392982,NF
1,1,8,55,D,False,0.9688854821062033,NF
1,1,8,56,M,False,0.9475336669775942,NF
1,1,8,57,X,False,0.8568318327028515,NF
1,1,8,58,K,False,0.6425926317124261,NF
1,1,8,59,E,False,0.7204406828537346,NF
1,1,8,60,N,False,0.8747892128830524,NF
1,1,8,1,B,False,0.7491637598787002,OBS
1,1,8,2,G,False,0.790969773923178,OBS
1,1,8,3,S,True,0.7038262866957545,OBS
1,1,8,4,U,False,0.767306053354665,OBS
1,1,8,5,S,True,0.8192328658649719,OBS
1,1,8,6,W,False,0.6056061421039799,OBS
1,1,8,7,S,True,0.9404890871739893,OBS
1,1,8,8,Z,False,0.9316863034610616,OBS
1,1,8,9,S,True,0.8573427228786459,OBS
1,1,8,10,S,True,0.682735776727919,OBS
1,1,8,11,M,False,0.6117672835755212,OBS
1,1,8,12,S,True,0.827521092878821,OBS
1,1,8,13,F,False,0.6625345633192459,OBS
1,1,8,14,S,True,0.6150825373923519,OBS
1,1,8,15,X,False,0.693827821886722,OBS
1,1,8,16,S,True,0.7578426588770744,OBS
1,1,8,17,V,False,0.6566626280571701,OBS
1,1,8,18,E,False,0.9874393860816895,OBS
1,1,8,19,K,False,0.8952231394367172,OBS
1,1,8,20,Z,False,0.8002614561999165,OBS
1,1,8,21,S,True,0.8116950961071823,OBS
1,1,8,22,V,False,0.7625816791654937,OBS
1,1,8,23,K,False,0.7256755545405595,OBS
1,1,8,24,S,True,0.6016531555094677,OBS
1,1,8,25,P,False,0.7083349893054933,OBS
1,1,8,26,T,False,0.9170669689537957,OBS
1,1,8,27,S,True,0.7999193855551908,OBS
1,1,8,28,T,False,0.6998096667787954,OBS
1,1,8,29,S,True,0.8710321049198,OBS
1,1,8,30,S,True,0.7289344918534015,OBS
1,1,8,31,X,False,0.6371142511168244,OBS
1,1,8,32,T,False,0.9829296871726021,OBS
1,1,8,33,A,False,0.6525747459197826,OBS
1,1,8,34,S,True,0.8633042932133521,OBS
1,1,8,35,H,False,0.8899010224541941,OBS
1,1,8,36,S,True,0.872244037202612,OBS
1,1,8,37,G,False,0.9345663014393452,OBS
1,1,8,38,I,False,0.9588035739242979,OBS
1,1,8,39,R,False,0.9176083513332458,OBS
1,1,8,40,T,False,0.9719752755022999,OBS
1,1,8,41,R,False,0.652127670933916,OBS
1,1,8,42,W,False,0.9102685440319225,OBS
1,1,8,43,S,True,0.8079522813144571,OBS
1,1,8,44,K,False,0.9154100675759247,OBS
1,1,8,45,S,True,0.7134262514613208,OBS
1,1,8,46,T,False,0.6374637569080857,OBS
1,1,8,47,H,False,0.8410350184634174,OBS
1,1,8,48,S,True,0.9759259190301381,OBS
1,1,8,49,D,False,0.6149675370206578,OBS
1,1,8,50,L,False,0.8194077278943721,OBS
1,1,8,51,E,False,0.9978277007982566,OBS
1,1,8,52,S,True,0.7853945943065542,OBS
1,1,8,53,D,False,0.6729558152236517,OBS
1,1,8,54,X,False,0.9121374936249358,OBS
1,1,8,55,S,True,0.7571478711560696,OBS
1,1,8,56,Y,False,0.8627374475675657,OBS
1,1,8,57,J,False,0.9361668174060555,OBS
1,1,8,58,N,False,0.9183208794081861,OBS
1,1,8,59,K,False,0.9405272975737947,OBS
1,1,8,60,G,False,0.7153296781401157,OBS
